Year.2000,Year.2005,Age.75,Age.80,Age.85,Male,Deaths,PT
0,0,0,0,0,0,15989,586882.8
0,0,1,0,0,0,20838,454142.7
0,0,0,1,0,0,24073,297678.6
0,0,0,0,1,0,20216,147771.7
0,0,0,0,0,1,23810,456908.21
0,0,1,0,0,1,24707,300318.92
0,0,0,1,0,1,20319,167303.51
0,0,0,0,1,1,13524,74295.83
1,0,0,0,0,0,13912,521561.9
1,0,1,0,0,0,19731,471945.5
1,0,0,1,0,0,25541,369989.9
1,0,0,0,1,0,27135,226798.1
1,0,0,0,0,1,17360,436994.92
1,0,1,0,0,1,22477,341362.82
1,0,0,1,0,1,22992,217929.72
1,0,0,0,1,1,17444,104009.58
0,1,0,0,0,0,12179,540568.6
0,1,1,0,0,0,17273,444474.2
0,1,0,1,0,0,23513,363534.1
0,1,0,0,1,0,26842,237877.3
0,1,0,0,0,1,15782,472012.84
0,1,1,0,0,1,19547,344351.34
0,1,0,1,0,1,21781,230530.24
0,1,0,0,1,1,17811,114485.04
