Length_of_Roll Ln_Length_of_Roll Number_of_Faults
551 6.311734809 6
651 6.478509642 4
832 6.723832441 17
375 5.926926026 9
715 6.572282543 14
868 6.766191715 8
271 5.602118821 5
630 6.445719819 7
491 6.196444128 7
372 5.918893854 7
645 6.469250317 6
441 6.089044875 8
895 6.796823718 28
458 6.126869184 4
642 6.464588304 10
492 6.198478716 4
543 6.29710932 8
842 6.735780014 9
905 6.807934944 23
542 6.295266001 9
522 6.257667588 6
122 4.804021045 1
657 6.487684018 9
170 5.135798437 4
738 6.603943825 9
371 5.916202063 14
735 6.599870499 17
749 6.618738984 10
495 6.204557763 7
716 6.573680167 3
952 6.858565035 9
417 6.033086222 2

